timestamp,open,high,low,close,volume
2025-12-30 04:00:00,110.4,110.4,110.4,110.4,0
2025-12-30 04:01:00,110.4,110.4,110.4,110.4,0
2025-12-30 04:02:00,110.48,110.48,110.45,110.46,24
2025-12-30 04:03:00,110.46,110.5,110.46,110.5,22
2025-12-30 04:04:00,110.5,110.5,110.5,110.5,0
2025-12-30 04:05:00,110.5,110.5,110.5,110.5,0
2025-12-30 04:06:00,110.51,110.51,110.51,110.51,6
2025-12-30 04:07:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:08:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:09:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:10:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:11:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:12:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:13:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:14:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:15:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:16:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:17:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:18:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:19:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:20:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:21:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:22:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:23:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:24:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:25:00,110.51,110.51,110.51,110.51,0
2025-12-30 04:26:00,110.92,111.0,110.92,111.0,18
2025-12-30 04:27:00,110.78,110.78,110.78,110.78,5
2025-12-30 04:28:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:29:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:30:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:31:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:32:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:33:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:34:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:35:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:36:00,110.87,110.87,110.87,110.87,25
2025-12-30 04:37:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:38:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:39:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:40:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:41:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:42:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:43:00,110.87,110.87,110.87,110.87,0
2025-12-30 04:44:00,110.8,110.8,110.8,110.8,45
2025-12-30 04:45:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:46:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:47:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:48:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:49:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:50:00,110.8,110.8,110.8,110.8,0
2025-12-30 04:51:00,110.78,110.78,110.78,110.78,1
2025-12-30 04:52:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:53:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:54:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:55:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:56:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:57:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:58:00,110.78,110.78,110.78,110.78,0
2025-12-30 04:59:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:00:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:01:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:02:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:03:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:04:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:05:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:06:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:07:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:08:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:09:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:10:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:11:00,110.78,110.78,110.78,110.78,0
2025-12-30 05:12:00,110.8,110.84,110.8,110.84,85
2025-12-30 05:13:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:14:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:15:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:16:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:17:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:18:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:19:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:20:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:21:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:22:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:23:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:24:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:25:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:26:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:27:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:28:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:29:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:30:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:31:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:32:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:33:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:34:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:35:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:36:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:37:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:38:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:39:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:40:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:41:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:42:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:43:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:44:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:45:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:46:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:47:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:48:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:49:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:50:00,110.84,110.84,110.84,110.84,0
2025-12-30 05:51:00,110.88,110.89,110.88,110.89,15
2025-12-30 05:52:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:53:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:54:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:55:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:56:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:57:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:58:00,110.89,110.89,110.89,110.89,0
2025-12-30 05:59:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:00:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:01:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:02:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:03:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:04:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:05:00,110.89,110.89,110.89,110.89,0
2025-12-30 06:06:00,110.75,110.75,110.75,110.75,80
2025-12-30 06:07:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:08:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:09:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:10:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:11:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:12:00,110.75,110.75,110.75,110.75,20
2025-12-30 06:13:00,110.75,110.75,110.75,110.75,30
2025-12-30 06:14:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:15:00,110.75,110.75,110.75,110.75,25
2025-12-30 06:16:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:17:00,110.75,110.75,110.75,110.75,5
2025-12-30 06:18:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:19:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:20:00,110.75,110.75,110.75,110.75,0
2025-12-30 06:21:00,110.71,110.71,110.71,110.71,6
2025-12-30 06:22:00,110.75,110.76,110.75,110.76,46
2025-12-30 06:23:00,110.8,110.8,110.8,110.8,50
2025-12-30 06:24:00,110.8,110.8,110.8,110.8,0
2025-12-30 06:25:00,110.8,110.8,110.8,110.8,0
2025-12-30 06:26:00,110.8,110.8,110.8,110.8,0
